board,gas,gas_name,conc,rep,f00,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63
1,GCO,CO,10,1,0.8600006103515625,0.022142137151723494,0.01594683955438204,0.002288086076575529,0.0005904142269817566,-0.019915256588347738,-0.0023942970105903594,-0.0002195457241328904,-0.26000022888183594,-0.013948510589878282,0.006425463171302805,0.0007398490221007357,0.00011229736859148521,-0.0069790314561667495,-0.000725776602653265,-0.00014023698991256041,-0.6599998474121094,-0.030697667321493458,0.006573715923346577,0.0009501327029052852,0.00020576304461210806,-0.006450275382037712,-0.0007386407691173905,-0.00015066006733830623,-0.8900003433227539,-0.1597846168570748,0.0021289017705992297,0.00022681792527861185,2.873960968847853e-05,-0.0016077506642940879,-0.00017843451083972194,-2.2686627210982417e-05,-2.3300018310546875,-0.03217789964391244,0.040464720222776814,0.004573143777066948,0.00089108882902382,-0.0371282651894958,-0.004122043516739306,-0.0005773262616928704,-1.4599990844726562,-0.031898603230732674,0.03547146571004854,0.003410978832991163,0.0003074334413375517,-0.03179308540078801,-0.003006167942577292,-0.0004145667245001787,-2.5,-0.04524068179397362,0.028722173343444728,0.0028544650537333962,0.0002980023660538733,-0.03177780308984793,-0.0033772474835291368,-0.00034203634674199307,-1.2800002098083496,-0.18259631498079454,0.0020520135309912303,0.00020052016169743646,2.000935151087304e-05,-0.001927008851093051,-0.00017986711428344399,-1.5990575171139335e-05
1,GCO,CO,10,2,-1.6100006103515625,-0.0429447996337728,0.01574440142647174,0.0027461866850397865,0.0005545948799838565,-0.0199736693245613,-0.002933163854570902,-0.0004367590411978148,-0.5999984741210938,-0.034013520117987465,0.006913203348616195,0.0009736258287825132,8.573096915434652e-05,-0.0067740044742837695,-0.0011032978748246026,-0.00019494554162820601,-1.1499996185302734,-0.05631731705355549,0.005949517559379747,0.001008169031140766,0.00022103737955250378,-0.006790079393524196,-0.001171569368535936,-0.00025155738985299626,-1.169999599456787,-0.19532548316581674,0.0021822445296410266,0.00023770097394299958,1.9891815934993727e-05,-0.00191206993211014,-0.0002259137598236029,-3.0386913001550227e-05,-3.5799942016601562,-0.050787265004305,0.04129566811960886,0.005082697413726885,0.0007836564806347513,-0.042446982715605784,-0.0047862936726596715,-0.0007921464597658457,-1.9200019836425781,-0.04463045009791677,0.025475205803626624,0.00252537608573493,0.0002802634317353367,-0.028868268145156854,-0.00409002462214727,-0.0005162010586171544,-3.4899978637695312,-0.06456980412640856,0.03307027646667502,0.003631320565517327,0.00037141786397842615,-0.03580453254168064,-0.003917532355646738,-0.0005865938919624545,-1.5300002098083496,-0.21338914833027192,0.001895978419825525,0.00015167352857623607,1.0000228881835938e-05,-0.0024998328730855427,-0.00019955093422299885,-7.981052845434202e-06
1,GCO,CO,10,3,-0.94000244140625,-0.021171225430214498,0.02280267480676748,0.002951278691776338,0.0005649825553214225,-0.020466186074578754,-0.0019383744113274917,-0.0003012415124043514,-0.29000091552734375,-0.013223935772536197,0.008446284916018976,0.0009760219587912842,0.00010669206877226021,-0.008123632999288363,-0.0008131064885903418,-0.00010363675139930636,-0.8000011444091797,-0.03218025441544293,0.0077018595396796665,0.0010005506577710247,0.00022939870717862655,-0.006355557230641913,-0.0007382169952239025,-0.00012748965304358985,-0.9899997711181641,-0.12147237024002404,0.002158988940439216,0.0002161105431288379,2.1321197571650163e-05,-0.0022272039963567125,-0.0002007697500262288,-1.9457329708551917e-05,-1.8300018310546875,-0.022561975308641975,0.053379800229319256,0.006324225241117802,0.0009198696467304048,-0.053555829171935986,-0.005392672733899396,-0.0006811054684032749,-1.6599998474121094,-0.03353535045276989,0.03428824851395999,0.0033812590405883276,0.00036972937500489846,-0.02598878621341384,-0.002375871652525026,-0.000277840844482159,-2.6599960327148438,-0.0404623687123789,0.04251572057848958,0.004210897531152819,0.0004707431032422741,-0.04821398259287986,-0.004564858418179879,-0.0005703715294006676,-1.2899999618530273,-0.14896073724972655,0.003103040466001136,0.0003042837464562175,3.679872336186097e-05,-0.002903520471060928,-0.0002595117486960915,-1.872583584543673e-05
1,GCO,CO,10,4,-1.0300025939941406,-0.02182208850307645,0.02198363332984235,0.003714130868306163,0.0007177668500207423,-0.021959703202766134,-0.0025438697960333337,-0.00034321214588670383,-0.34999847412109375,-0.015184316082681455,0.008851080528880444,0.0008838444672670401,0.00011870196551623859,-0.008470280771096572,-0.0008166039349276707,-0.00013509533810007282,-0.9600009918212891,-0.03617185224962205,0.00793225109158363,0.0011282466710993712,0.0002857706461282316,-0.008337979342266759,-0.000991221449148065,-0.00014512526522680224,-1.5799999237060547,-0.20025347914357144,0.0019895189246269375,0.00020198250596298916,2.8693986877393043e-05,-0.0016499481599499518,-0.0001431023587636268,-1.0269116502809867e-05,-2.0699996948242188,-0.023768512824286513,0.05945575982444622,0.006302790623393353,0.0010391552218483857,-0.06271450744970308,-0.006064503377063514,-0.0007433147765056195,-1.720001220703125,-0.03395185996612254,0.026594555927166464,0.002633618085792396,0.0003481187343997613,-0.03713928942927723,-0.0037198313057119946,-0.0004099351132620981,-3.1800003051757812,-0.04527979714046005,0.04487131789898889,0.004909227127332586,0.0006088248926783887,-0.04893197368655987,-0.0051776471738170775,-0.0005703938181589283,-1.7800002098083496,-0.21787028068374129,0.0019405152169824167,0.00021428354746256333,2.8533436216691803e-05,-0.0020820927059032033,-0.00018473194082809722,-1.1776681488283035e-05
1,GCO,CO,20,1,-1.220001220703125,-0.03098022314912841,0.01737150454556447,0.0025419136296469325,0.0005769578923477255,-0.018307123236451436,-0.0018249538430298961,-0.00021187008120883232,-0.28999900817871094,-0.015474867220951278,0.007533472149850757,0.0007148552110046124,0.00013029344007254822,-0.0068908643068707285,-0.0007530934823367048,-9.186904927074478e-05,-1.010000228881836,-0.04641545120671793,0.005593689916336483,0.0009760743456989067,0.00023752816165425572,-0.006229294931663881,-0.0006674230811106923,-9.688397763519429e-05,-1.5999999046325684,-0.2857142735500723,0.0019714519230323887,0.0002208310696884701,2.8455685681254947e-05,-0.0015314157768782993,-0.0001545934151893385,-1.116889531629834e-05,-3.4300003051757812,-0.04679399948665522,0.04135275573223843,0.005315217054833717,0.0007818114036523747,-0.04619520471450858,-0.0045385376516241535,-0.0005627199435535958,-1.6599998474121094,-0.03611050257411151,0.02648217088950493,0.0025918878727800624,0.0003614275345506599,-0.027106903433228333,-0.0026130375607061294,-0.0003510690284476652,-3.8100013732910156,-0.06809653836170652,0.027359239065387744,0.0033250642498051236,0.0003933310073521776,-0.03317869041096034,-0.0037200392092007067,-0.00042256203852468265,-2.2300000190734863,-0.3167613680620701,0.001988096491989947,0.0002036906084789833,2.7039768685247e-05,-0.0016485142199351949,-0.00016475988501611744,-1.942207148898124e-05
1,GCO,CO,20,2,-1.3700027465820312,-0.035976961153000205,0.016503742286951513,0.002596959199301225,0.0005829230924594363,-0.01611274564911991,-0.0021445270580506422,-0.00036565777071203984,-0.3400001525878906,-0.019274385734242748,0.00689029407196287,0.000951284926034995,0.0001343622775178634,-0.006421469634537604,-0.0011271642120594372,-0.00016163331468450505,-1.1100006103515625,-0.05364913396325925,0.0058857611104965206,0.0010259336819187653,0.00025491009966828335,-0.006081693628995416,-0.001072166683338614,-0.0001777294013251653,-1.7300000190734863,-0.2878535695822018,0.0019569710756501654,0.0001937457903461555,2.7326925877817193e-05,-0.0017275476947689276,-0.0002269473460698469,-2.5652336295062623e-05,-3.0900039672851562,-0.04318663641495459,0.03872897505456249,0.004787664428911993,0.0008982207592716254,-0.04433153441639226,-0.004299000897035123,-0.0006745687936991734,-1.75,-0.040678753635024274,0.02036686604290069,0.00230015688514808,0.0003095572327334199,-0.025486402121129993,-0.0026668685951273686,-0.00042693480348179457,-3.5699996948242188,-0.06508659606451199,0.033877884012192314,0.0032194467510476663,0.0003984489075100904,-0.03638853729606889,-0.0042385506282659555,-0.0004681113803260563,-2.299999713897705,-0.3194444131704016,0.0019738229373791683,0.00019542409956156635,1.498986369453744e-05,-0.0020037724111886383,-0.00019129008746321947,-1.514210555013633e-05
1,GCO,CO,20,3,-1.5399971008300781,-0.03394307112817257,0.02532310710195714,0.002698455289117766,0.00029773186504040603,-0.027490617112730098,-0.0026928860867925907,-0.0002500672606480799,-0.5499992370605469,-0.02504550364254965,0.009479166858895117,0.0009049936190928273,9.787209301866207e-05,-0.009131499709929911,-0.0009142852997821561,-9.567476619618697e-05,-1.3199996948242188,-0.052173902554535474,0.007726290344656604,0.0007941582311126209,0.00014536570254351281,-0.008829971571106652,-0.0008818043267287168,-0.00010653598331138175,-1.570000171661377,-0.19773301767594495,0.001975929381465383,0.00021410505417258354,2.3240081507632262e-05,-0.002391901218729011,-0.00022504985649090227,-4.455385722678452e-06,-2.9199981689453125,-0.0355230933984573,0.04845957733648972,0.004866978244809836,0.0005428197267453912,-0.05446673351238859,-0.005434639945147775,-0.0005637725913016245,-2.329998016357422,-0.046637270997900694,0.0289228907570129,0.002946611252784992,0.00033321883387853245,-0.0321326746669257,-0.003106408407706163,-0.00027343817518242974,-4.089996337890625,-0.06151295637383782,0.06112758252887208,0.006237230309371688,0.0005792962196737099,-0.052890655282272936,-0.004992892631562471,-0.0003881187487284292,-1.7099995613098145,-0.20981590691389337,0.0020842027459036113,0.0002092302175032207,2.8571810076239203e-05,-0.002763780328864443,-0.00025809615882434623,-1.9979991422176363e-05
1,GCO,CO,20,4,-1.7099990844726562,-0.0366323708931736,0.020150511251011728,0.002885610028254932,0.0007027093352559476,-0.02135607144383085,-0.002180198281260566,-0.0002801812691577721,-0.3899993896484375,-0.016839351995592344,0.008959771762863038,0.0010274656626705451,0.00011838511584062267,-0.010003458916732988,-0.0009921030554103658,-0.00012776495166955782,-1.6100006103515625,-0.06135673111261447,0.006592414325377682,0.001008937247907633,0.0002398396288361341,-0.008368913745293324,-0.0007809809974071311,-0.00011731824552665993,-3.059999942779541,-0.3834586385295298,0.0019873214316125224,0.0001878558479800277,1.2948348031001952e-05,-0.0016988768787744666,-0.00014619190897632384,-9.999752044677734e-06,-3.9900054931640625,-0.04629313586429645,0.05912270930618926,0.005677662944136918,0.0008563773309889027,-0.05280390951381153,-0.005634362665416908,-0.0007373345562821475,-2.0800018310546875,-0.04076836166978465,0.03162554796435123,0.00303875619088422,0.00029892031673478504,-0.0339419500208172,-0.0032484727339593842,-0.00032564565261908687,-5.470005035400391,-0.07880715670364448,0.04228385432698717,0.004969924790767082,0.0005856523165066222,-0.05064992709760134,-0.004650737122158477,-0.0004960454917475586,-3.2300000190734863,-0.39583334307265455,0.0020874414167688813,0.00018133621710966446,1.0827952193789267e-05,-0.002277884019226401,-0.000169117676910189,-1.0047485699848208e-05
1,GCO,CO,30,1,-1.80999755859375,-0.04605591841556304,0.018225203426292337,0.0025592917652928243,0.0005367037267602273,-0.020007542913142846,-0.0021799627204604098,-0.00023915399762027277,-0.39999961853027344,-0.021367501773620328,0.006163525553860552,0.0006848837901433207,0.00010730371429413209,-0.007897928157640111,-0.0009325894004513047,-0.00012988316318666103,-1.4599990844726562,-0.0671881783354332,0.0057170518876719905,0.0010355437986316683,0.00023739680418204036,-0.006883310223341561,-0.0007864122901053536,-9.540536544081721e-05,-2.070000171661377,-0.36898397903684504,0.0017853722507514631,0.00016215721925260822,1.0039484220172495e-05,-0.0019148592471877265,-0.000158266669289056,-4.379089968588881e-06,-5.040000915527344,-0.06875853623046307,0.03945505962929732,0.004636091363307981,0.0009333171699314873,-0.04435493850024751,-0.003984525889743508,-0.0003094596087208916,-2.30999755859375,-0.05035966017841008,0.021760253908244313,0.0021913676079405925,0.00025644163510005614,-0.02738107469980368,-0.0025876033426317623,-0.00033227855897231215,-5.3600006103515625,-0.09604014474933693,0.029646311147046103,0.003185409213624656,0.0002619850834495304,-0.041057602008166466,-0.0038805561069112653,-0.00030189704582903195,-2.7699999809265137,-0.39571428298950195,0.002168620391429512,0.0002109153046558472,2.045924495221104e-05,-0.0016232721566933352,-0.000163630993442054,-2.6126592852481686e-05
1,GCO,CO,30,2,-1.6999969482421875,-0.04622069071951955,0.015052816751095545,0.003813401262260042,0.0009374367528954202,-0.01821701056683859,-0.0024232145015266287,-0.0003844139841389717,-0.4200000762939453,-0.024305559004898288,0.005793580073492952,0.0011344897712297851,0.00024587949212163945,-0.006986836877990339,-0.0010654211489701726,-0.00021052005072374322,-1.4100017547607422,-0.0703593657856696,0.006925540444662303,0.0016911008903656196,0.00041886677143834885,-0.007305924227524948,-0.0012788689173282369,-0.00022704319026472473,-2.120000123977661,-0.35932204910339666,0.0019137159586776298,0.00027214344961105366,3.867415701056285e-05,-0.0017710680461931747,-0.00020560242071359012,-2.621553319887945e-05,-4.029998779296875,-0.05818652403980724,0.04547408375853276,0.006054758059455515,0.0015088034305482502,-0.0413690433343717,-0.004685208508458996,-0.0008279499375963455,-2.270000457763672,-0.053765996971372604,0.021050914583185525,0.0027876747324746005,0.0005611653430091731,-0.023427333707289014,-0.003134707831593372,-0.0004935580854045962,-4.840000152587891,-0.091080169517855,0.026263323722381604,0.003830555894737581,0.0006317767416249633,-0.03156165467445686,-0.0043502200778141355,-0.0005914892188321,-2.7699999809265137,-0.38959211377079533,0.002012333967604806,0.000257699262350475,3.6828314079125955e-05,-0.002095242965940085,-0.00021384792931708441,-1.999998092651367e-05
